0x01	0000 0001		PUSH IP
0x02	0000 0010		PUSH DSP
0x03	0000 0011		PUSH RSP
0x05	0000 0101		PUSH [IP]
0x06	0000 0110		PUSH [DSP]
0x07	0000 0111		PUSH [RSP]
0x08	0000 1000		PUSH DS,xFF
0x09	0000 1001		PUSH RS,xFF
0x0A	0000 1010		PUSH DS,xFFFF
0x0B	0000 1011		PUSH RS,xFFFF
0x0C	0000 1100		PUSH DS,xFFFF_FF
0x0D	0000 1101		PUSH RS,xFFFF_FF
0x0E	0000 1110		PUSH DS,xFFFF_FFFF
0x0F	0000 1111		PUSH RS,xFFFF_FFFF

0x10	0001 0000		TOd
0x11	0001 0001		dTOd
0x12	0001 0010		TOr
0x13	0001 0011		dTOr
0x14	0001 0100		DROP
0x15	0001 0101		dDROP
0x16	0001 0110		DUP
0x17	0001 0111		dDUP
0x18	0001 1000		SWAP
0x19	0001 1001		dSWAP
0x1A	0001 1010		ROT

0x20	0010 0000		ADD
0x21	0010 0001		dADD
0x22	0010 0010		SUB
0x23	0010 0011		dSUB
0x24	0010 0100		MULT
0x25	0010 0101		dMULT
0x26	0010 0110		DIVMOD
0x27	0010 0111		dDIVMOD
0x28	0010 1000		AND
0x29	0010 1001		dAND
0x2A	0010 1010		OR
0x2B	0010 1011		dOR
0x2C	0010 1100		XOR
0x2D	0010 1101		dXOR
0x2E	0010 1110		NOT
0x2F	0010 1111		dNOT

0x3x	0011 0nzp		BR[nzp]
0x38	0011 1000		EQ
0x39	0011 1001		dEQ
0x3A	0011 1010		LT
0x3B	0011 1011		dLT
0x3C	0011 1100		GT
0x3D	0011 1101		dGT
